Id,Label,Tweet Text
1305559183891161089,0,"""#Covid19 ""long haulers"" feel they aren't yet getting recognition for an illness that has disabled them for months, with no end in sight."" #coronavirus #covidlonghauler 
#dysautonomia #chronicillness #neurologicsymptoms 

https://t.co/eV2Vqwvl3F"
1243351676624547840,1,"""But why would Texas be afraid that Asian-New Yorkers would come to their state with Coronavirus?""

I...

I shouldn't have even tried. I should have just played Untitled Goose Game all evening."
1247974521044373506,0,"""Coronavirus: Doctors Pressuring Senior Citizens to Sign Do Not Resuscitate Forms""  https://t.co/B6dVB7W4fd"
1247951091402145804,1,"""Despite the need, Congress allocated just $10 million to the Minority Business Development Agency (MBDA) out of the $2.2 trillion coronavirus relief bill."" In case you were wondering, #10 million is less than ONE percent of $2.2 trillion.
https://t.co/JlxZ0g3uCS"
1253140482999365632,2,"""Fired over text, 800 calls to unemployment: What it’s like losing your job in the coronavirus pandemic"" https://t.co/TERfTfdXtX"
1244389997597396999,0,"""If we could hold that down to 100,000"" or maybe fewer deaths, Trump says his administration will have done a great job.

Before the Covid-19 outbreak “we didn’t have death.” (?)"
1275999658725330945,0,"""Nursing homes were the most tragic situation,"" says New York Gov. Cuomo of the many deaths in nursing homes due to coronavirus. ""…We lost lives all across the country…There is no doubt and we have to figure out how to do it better next time because there will be a next time."" https://t.co/ydHD2u2sV0"
1307072596895313923,1,"""Of course, the culling of female-centred &amp; feminist publications began long before Covid-19. The pandemic has just accelerated the trend. But the Covid-19 media contraction has seen devastating job losses in the industry, affecting many women."" #auspol

https://t.co/x8mcfUO6PT"
1289965461594021889,2,"""People pushed into poverty by the coronavirus pandemic could face years of increased dependence on government help, experts say ... A single mother with another baby due this summer found herself choosing between buying food or paying the rent."" https://t.co/UhLURl0yru"
1297071308824612865,2,"""Teach what you know. That piece of wisdom came to mind when schools closed due to the coronavirus global pandemic in mid-March, and I suddenly had a new job: second grade home-schooler."" https://t.co/Btr3HGbvRN #YourVoice DakotaRudesill OSU_Law https://t.co/olTVT3M9Co"
1283581889878482945,0,"""We really need young people to wake up, they can be extremely deadly to their elderly relatives.""
He said 40 per cent of coronavirus cases were found in 18- to 29-year-olds. https://t.co/RyCGA3JsTI"
1252669721855635460,1,"""When I examine the trickle of data from states &amp; counties on #coronavirus patients, when I scrutinize the racial demographics of hot spots... it sure seems as if the #COVID19 pandemic is hitting people of color the hardest."" #RacialEquity

https://t.co/dIvx5Z3NkO"
1284064089241726976,3,"""You’re a Senior. How Do You Calculate Coronavirus Risk Right Now?"" by BY PAULA SPAN via NYT New York Times https://t.co/UFSj9sxsEp"
1242537603884351489,0,"#BREAKING

Yehuda Y Refson, senior #UK Chabad rabbi, dies of #coronavirus 

https://t.co/Ujg1iFzmyN 

@vonderleyen @realDonaldTrump  @BernieSanders @BorisJohnson @jeremycorbyn @netanyahu @mehdirhasan @AOC @JZarif @NicolaSturgeon @SadiqKhan @RashidaTlaib @RTErdogan @jaketapper"
1253044755900088322,0,#CHINA VS. U.S.A: the race for a coronavirus vaccine | 60 Minutes Australia https://t.co/BoifUzBqqS via @YouTube so freaking typical. Never mind people die just make a profit
1276679784265900032,1,"#ChiefofReceipts 2020: #angryblackman, #thugs, #Woke, #schina, #republitard,  #coronavirus, #CARESAct, #600aweek, #chaz, #sleepyjoe, #FED, #Vshapedrecovery, #unemployment, #MedicareForAll, #greennewdeal, #blm, and we still have four months to go."
1294317539200249857,2,#Coronavirus #Vaccine : #Russian Top Medic Quits his job because of untested #Covid-19 Vaccine. Calls out #Putin rush through https://t.co/g2F8CwH01w
1250770033615212546,0,#Coronavirus spread in Irish nursing homes 'a catastrophe in the making' https://t.co/POY3sSVeRo
1249594078058229763,2,"#Coronavirus: 'I lost my job, now we're on the bare minimum' (BBC) https://t.co/8bQ8E0cz1R"
1253206115371773953,0,"#Coronavirus: 95 of 150 deaths in Mumbai were in 51-70 age group, most positive cases among 21-30. BMC plans to pick up vulnerable cases early by checking oxygen levels of the elderly using a pulse oximeter.  https://t.co/A1tkn18hde"
1243545361416847362,4,"#CoronavirusUpdate: Soon, I'll be on the #HouseFloor to talk about today's vote on the #StimulusPackage. #CARESAct 

LIVE → https://t.co/k7USjTEunr"
1250086814716776449,0,"#Covid19  #bbc
You are announcing the deaths in care homes &amp; hospices
Fine - we need to know 
BUT COMPARE THEM WITH WHAT WOULD BE EXPECTED
This is ridiculous to assume NO ONE DIES in care?
There needs to be comparisons made with expectations for the elderly with flu complications"
1251026800819482625,0,"#Covid19 so what have Dildo Baggins HANCOCK &amp; laughing 
hyena Watley got today about the massacre &amp; the Holocaust of the elderly in care homes with Corona virus?"
